# Energ loss (eV) 	Intensity (arb. units)	Error bar
      2.6906771549       4.1704074055       0.4819818476
      2.7134771549       4.3626935103       0.4895929843
      2.7362771549       5.2855917446       0.5245860291
      2.7590771549       4.4395566121       0.4926005036
      2.7818771549       4.6331904975       0.5001537179
      2.7989771549       6.6729589803       0.8107486271
      2.8217771549       5.7493906502       0.4420527117
      2.8502771549       5.1338647788       0.5190726290
      2.8730771549       6.1727307787       0.5562448571
      2.8958771549       6.4422916928       0.5654986957
      2.9186771549       8.7512547703       0.6392526483
      2.9414771549       7.4817364851       0.5998376978
      2.9585771549       8.3678814167       0.8876335305
      2.9813771549       7.9846926367       0.5028343403
      3.0098771549       9.0621626049       0.6486337612
      3.0326771549       9.7153594071       0.6677002996
      3.0554771549      10.0617057794       0.6776076396
      3.0782771549      10.0620212346       0.6776255563
      3.1010771549      10.3319049001       0.6852602979
      3.1181771549       9.2151003718       0.9236590173
      3.1409771549      10.9327890174       0.5730781807
      3.1694771549      11.8307481522       0.7260750152
      3.1922771549      11.5984219872       0.7198537135
      3.2150771549      12.4049425635       0.7410561969
      3.2378771549      11.6727009141       0.7217648415
      3.2606771549      12.1708150813       0.7348674499
      3.2777771549      12.2858589014       1.0434958762
      3.3005771549      13.2600274947       0.6228442938
      3.3290771549      13.3984986845       0.7662441495
      3.3518771549      13.4368915533       0.7672053864
      3.3746771549      13.3211097333       0.7642876981
      3.3917771549      12.7441770322       1.0601373465
      3.4145771549      13.2063507397       0.6216890615
      3.4430771549      12.6665685975       0.7476190922
      3.4658771549      14.7017206692       0.7981742724
      3.4886771549      13.9869740318       0.7840179546
      3.5114771549      13.7761247861       0.7754905188
      3.5342771549      15.1472641467       0.8121328057
      3.5513771549      14.8128751285       1.1324264282
      3.5741771549      13.4107381585       0.6274557498
      3.6026771549      13.7722421147       0.7752980620
      3.6254771549      15.1820419995       0.8128673716
      3.6482771549      14.5374426633       0.7939541092
      3.6710771549      14.3610724185       0.7928815353
      3.6938771549      14.5711103126       0.7946534375
      3.7109771549      16.3376569080       1.1826369707
      3.7337771549      13.0421312548       0.6196774811
      3.7622771549      12.4964462004       0.7428096025
      3.7850771549      13.5191431056       0.7655791734
      3.8078771549      12.9545144864       0.7544872408
      3.8306771549      14.0272178590       0.7812470412
      3.8534771549      14.3141679069       0.7849896273
      3.8705771549      14.8431273911       1.1424043734
      3.8933771549      12.9952787331       0.6150802786
      3.9218771549      13.4745791469       0.7643085460
      3.9446771549      12.6486997737       0.7496808693
      3.9674771549      12.1792242369       0.7313113386
      3.9902771549      14.2949189410       0.7877718409
      4.0130771549      12.6446278721       0.7464905830
      4.0301771549      13.4858905385       1.0857411343
      4.0529771549      12.1794261772       0.5979325474
      4.0814771549      13.6019997934       0.7706558206
      4.1042771549      10.7224928810       0.6952382767
      4.1270771549      13.5622023246       0.7696288350
      4.1498771549      11.4118617347       0.7139732193
      4.1726771549      12.4841484821       0.7392148589
      4.1897771549      12.0270140409       1.0328683058
      4.2125771549      10.0180316554       0.5530258229
      4.2410771549      11.7201954656       0.7192063216
      4.2638771549      11.2960700943       0.7108365927
      4.2866771549      11.3724849758       0.7128872409
      4.3094771549      11.1035405143       0.7056027297
      4.3322771549      10.1053285530       0.6779019818
      4.3493771549       9.4901671986       0.9337019962
      4.3721771549      11.7945494770       0.5912712975
      4.4006771549      10.3494182269       0.6819548777
      4.4234771549       8.9678371879       0.6476134080
      4.4462771549       9.2620512530       0.6536265517
      4.4690771549       9.8387889907       0.6703750441
      4.4918771549       9.9720603751       0.6714340366
      4.5089771549      10.4923771891       0.9741978551
      4.5317771549       9.3407988939       0.5356157278
      4.5602771549      10.0175065858       0.6783877959
      4.5830771549       7.9992078363       0.6155499053
      4.6058771549       8.4897900188       0.6280822513
      4.6286771549       8.3078739924       0.6251485952
      4.6514771549       9.0753610373       0.6482766150
      4.6685771549       8.4980773537       0.8922394153
      4.6913771549       8.9949542191       0.5288396624
      4.7198771549       7.0426552861       0.5825605686
      4.7426771549       7.8461747010       0.6107757190
      4.7654771549       6.8855738515       0.5797730905
      4.7825771549       6.6552134211       0.8090642931
      4.8053771549       6.4202576603       0.4619315603
      4.8338771549       7.4676324684       0.6116505410
      4.8566771549       6.5255471320       0.5877224039
      4.8794771549       5.8705880590       0.5800922476
      4.9022771549       4.7985415323       0.5462105427
      4.9250771549       6.5108951084       0.6245861804
      4.9421771549       4.5646954628       0.7859775232
      4.9649771549       5.9802944076       0.5120189741
      4.9934771549       4.7246293022       0.5945102055
      5.0162771549       4.9351253010       0.6185393760
      5.0390771549       4.6581224316       0.6251665371
      5.0618771549       4.1309784627       0.6155650859
      5.0846771549       4.6796143636       0.6614905347
      5.1017771549       3.7189684531       0.8835050063
      5.1188771549       4.1315211691       0.6626254889
