# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    126.4042934128         -0.0928735148                0.0733657450
    126.4542934128         -0.0932280283                0.0697149253
    126.5042934128         -0.0935825418                0.0663285587
    126.5542934128         -0.0939370553                0.0631818366
    126.6042934128         -0.0942915688                0.0602527785
    126.6542934128         -0.0946460823                0.0575218555
    126.7042934128         -0.0950005958                0.0549716708
    126.7542934128         -0.0953551093                0.0525866876
    126.8042934128         -0.0957096228                0.0503529966
    126.8542934128         -0.0960641363                0.0482581164
    126.9042934128         -0.0964186498                0.0462908217
    126.9542934128         -0.0967731633                0.0444409953
    127.0042934128         -0.0971276768                0.0426994999
    127.0542934128         -0.0974821903                0.0410580667
    127.1042934128         -0.0978367038                0.0395091984
    127.1542934128         -0.0981912173                0.0380460848
    127.2042934128         -0.0985457308                0.0366625288
    127.2542934128         -0.0989002443                0.0353528817
    127.3042934128         -0.0992547578                0.0341119857
    127.3542934128         -0.0996092713                0.0329351243
    127.4042934128         -0.0999637848                0.0318179774
    127.4542934128         -0.1003182983                0.0307565824
    127.5042934128         -0.1006728118                0.0297472989
    127.5542934128         -0.1010273253                0.0287867787
    127.6042934128         -0.1013818388                0.0278719371
    127.6542934128         -0.1017363523                0.0269999293
    127.7042934128         -0.1020908658                0.0261681281
    127.7542934128         -0.1024453793                0.0253741040
    127.8042934128         -0.1027998928                0.0246156083
    127.8542934128         -0.1031544063                0.0238905565
    127.9042934128         -0.1035089198                0.0231970146
    127.9542934128         -0.1038634333                0.0225331862
    128.0042934128         -0.1042179468                0.0218974008
    128.0542934128         -0.1045724603                0.0212881036
    128.1042934128         -0.1049269738                0.0207038457
    128.1542934128         -0.1052814873                0.0201432759
    128.2042934128         -0.1056360008                0.0196051328
    128.2542934128         -0.1059905142                0.0190882376
    128.3042934128         -0.1063450277                0.0185914880
    128.3542934128         -0.1066995412                0.0181138521
    128.4042934128         -0.1070540547                0.0176543631
    128.4542934128         -0.1074085682                0.0172121145
    128.5042934128         -0.1077630817                0.0167862556
    128.5542934128         -0.1081175952                0.0163759875
    128.6042934128         -0.1084721087                0.0159805593
    128.6542934128         -0.1088266222                0.0155992647
    128.7042934128         -0.1091811357                0.0152314390
    128.7542934128         -0.1095356492                0.0148764559
    128.8042934128         -0.1098901627                0.0145337251
    128.8542934128         -0.1102446762                0.0142026899
    128.9042934128         -0.1105991897                0.0138828246
    128.9542934128         -0.1109537032                0.0135736330
    129.0042934128         -0.1113082167                0.0132746458
    129.0542934128         -0.1116627302                0.0129854193
    129.1042934128         -0.1120172437                0.0127055337
    129.1542934128         -0.1123717572                0.0124345914
    129.2042934128         -0.1127262707                0.0121722159
    129.2542934128         -0.1130807842                0.0119180500
    129.3042934128         -0.1134352977                0.0116717552
    129.3542934128         -0.1137898112                0.0114330100
    129.4042934128         -0.1141443247                0.0112015093
    129.4542934128         -0.1144988382                0.0109769632
    129.5042934128         -0.1148533517                0.0107590961
