# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)	Magnetic peak (arb. units)
    126.3238445605          0.4248625808                0.0218901348                0.7565780148
    126.3738445605          0.4296275333                0.0212010052                0.7316360947
    126.4238445605          0.4343924857                0.0205438272                0.7078906916
    126.4738445605          0.4391574382                0.0199166607                0.6852664720
    126.5238445605          0.4439223907                0.0193177104                0.6636942156
    126.5738445605          0.4486873432                0.0187453127                0.6431101406
    126.6238445605          0.4534522957                0.0181979248                0.6234553342
    126.6738445605          0.4582172482                0.0176741138                0.6046752681
    126.7238445605          0.4629822007                0.0171725480                0.5867193817
    126.7738445605          0.4677471532                0.0166919881                0.5695407196
    126.8238445605          0.4725121056                0.0162312797                0.5530956139
    126.8738445605          0.4772770581                0.0157893465                0.5373434034
    126.9238445605          0.4820420106                0.0153651841                0.5222461840
    126.9738445605          0.4868069631                0.0149578540                0.5077685847
    127.0238445605          0.4915719156                0.0145664790                0.4938775660
    127.0738445605          0.4963368681                0.0141902381                0.4805422383
    127.1238445605          0.5011018206                0.0138283624                0.4677336964
    127.1738445605          0.5058667730                0.0134801309                0.4554248697
    127.2238445605          0.5106317255                0.0131448674                0.4435903853
    127.2738445605          0.5153966780                0.0128219371                0.4322064425
    127.3238445605          0.5201616305                0.0125107433                0.4212506991
    127.3738445605          0.5249265830                0.0122107250                0.4107021661
    127.4238445605          0.5296915355                0.0119213542                0.4005411115
    127.4738445605          0.5344564880                0.0116421337                0.3907489722
    127.5238445605          0.5392214404                0.0113725951                0.3813082727
    127.5738445605          0.5439863929                0.0111122964                0.3722025499
    127.6238445605          0.5487513454                0.0108608208                0.3634162846
    127.6738445605          0.5535162979                0.0106177743                0.3549348380
    127.7238445605          0.5582812504                0.0103827851                0.3467443926
    127.7738445605          0.5630462029                0.0101555013                0.3388318982
    127.8238445605          0.5678111554                0.0099355901                0.3311850220
    127.8738445605          0.5725761078                0.0097227364                0.3237921019
    127.9238445605          0.5773410603                0.0095166419                0.3166421036
    127.9738445605          0.5821060128                0.0093170237                0.3097245812
    128.0238445605          0.5868709653                0.0091236136                0.3030296396
    128.0738445605          0.5916359178                0.0089361571                0.2965479010
    128.1238445605          0.5964008703                0.0087544125                0.2902704725
    128.1738445605          0.6011658228                0.0085781505                0.2841889167
    128.2238445605          0.6059307753                0.0084071530                0.2782952242
    128.2738445605          0.6106957277                0.0082412125                0.2725817882
    128.3238445605          0.6154606802                0.0080801319                0.2670413803
    128.3738445605          0.6202256327                0.0079237234                0.2616671284
    128.4238445605          0.6249905852                0.0077718082                0.2564524962
    128.4738445605          0.6297555377                0.0076242161                0.2513912634
    128.5238445605          0.6345204902                0.0074807846                0.2464775081
