# 	2theta (deg)	Background (arb. units)	Structural peak (arb. units)
    128.5674329254          0.2929331024                0.0106499453
    128.6174329254          0.2956766992                0.0103928118
    128.6674329254          0.2984202961                0.0101448675
    128.7174329254          0.3011638930                0.0099056804
    128.7674329254          0.3039074898                0.0096748433
    128.8174329254          0.3066510867                0.0094519726
    128.8674329254          0.3093946836                0.0092367062
    128.9174329254          0.3121382804                0.0090287024
    128.9674329254          0.3148818773                0.0088276387
    129.0174329254          0.3176254742                0.0086332099
    129.0674329254          0.3203690710                0.0084451277
    129.1174329254          0.3231126679                0.0082631191
    129.1674329254          0.3258562648                0.0080869256
    129.2174329254          0.3285998616                0.0079163025
    129.2674329254          0.3313434585                0.0077510174
    129.3174329254          0.3340870554                0.0075908504
    129.3674329254          0.3368306522                0.0074355924
    129.4174329254          0.3395742491                0.0072850451
    129.4674329254          0.3423178460                0.0071390199
    129.5174329254          0.3450614428                0.0069973378
