# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	Intra-t2g excitations (arb. units)	t2g-eg excitations (arb. units)
           -0.0704028451             0.1897995521             0.0428874547             0.0726369158             0.0000000000
           -0.0692628451             0.1959978268             0.0436126824             0.0732593243             0.0000000000
           -0.0681228451             0.2025847290             0.0443583172             0.0738865472             0.0000000000
           -0.0669828451             0.2096117342             0.0451242160             0.0745186184             0.0000000000
           -0.0658428451             0.2171406080             0.0459112210             0.0751555723             0.0000000000
           -0.0647028451             0.2252455039             0.0467202354             0.0757974431             0.0000000000
           -0.0635628451             0.2340154132             0.0475522319             0.0764442657             0.0000000000
           -0.0624228451             0.2435569975             0.0484111678             0.0770960750             0.0000000000
           -0.0612828451             0.2539978359             0.0492959100             0.0777529063             0.0000000000
           -0.0601428451             0.2654901078             0.0502074035             0.0784147951             0.0000000000
           -0.0590028451             0.2782147258             0.0511470657             0.0790817772             0.0000000000
           -0.0578628451             0.2923859189             0.0521164652             0.0797538887             0.0000000000
           -0.0567228451             0.3082562499             0.0531180709             0.0804311660             0.0000000000
           -0.0555828451             0.3261220303             0.0541570353             0.0811136457             0.0000000000
           -0.0544428451             0.3463290723             0.0552321955             0.0818013648             0.0000000000
           -0.0533028451             0.3692786848             0.0563461254             0.0824943605             0.0000000000
           -0.0521628451             0.3954337916             0.0575017465             0.0831926705             0.0000000000
           -0.0510228451             0.4253250108             0.0587023847             0.0838963324             0.0000000000
           -0.0498828451             0.4595564960             0.0599548931             0.0846053846             0.0000000000
           -0.0487428451             0.4988112990             0.0612652436             0.0853198655             0.0000000000
           -0.0476028451             0.5438559749             0.0626350485             0.0860398139             0.0000000000
           -0.0464628451             0.5955441112             0.0640702614             0.0867652688             0.0000000000
           -0.0453228451             0.6548184292             0.0655777109             0.0874962698             0.0000000000
           -0.0441828451             0.7227110803             0.0671652252             0.0882328567             0.0000000000
           -0.0430428451             0.8003417424             0.0688510209             0.0889750695             0.0000000000
           -0.0419028451             0.8889131192             0.0706420468             0.0897229487             0.0000000000
           -0.0407628451             0.9897034550             0.0725471890             0.0904765351             0.0000000000
           -0.0396228451             1.1040557103             0.0745803289             0.0912358699             0.0000000000
           -0.0384828451             1.2333630912             0.0767572282             0.0920009946             0.0000000000
           -0.0373428451             1.3790506994             0.0790957293             0.0927719510             0.0000000000
           -0.0362028451             1.5425531626             0.0816422425             0.0935487814             0.0000000000
           -0.0350628451             1.7252882199             0.0843991010             0.0943315284             0.0000000000
           -0.0339228451             1.9286263732             0.0873924079             0.0951202350             0.0000000001
           -0.0327828451             2.1538568636             0.0906514522             0.0959149446             0.0000000001
           -0.0316428451             2.4021503939             0.0942087577             0.0967157009             0.0000000001
           -0.0305028451             2.6745191826             0.0981134105             0.0975225481             0.0000000001
           -0.0293628451             2.9717750935             0.1024339335             0.0983355308             0.0000000001
           -0.0282228451             3.2944867328             0.1071825872             0.0991546940             0.0000000001
           -0.0270828451             3.6429365245             0.1124079497             0.0999800829             0.0000000001
           -0.0259428451             4.0170788626             0.1181626806             0.1008117435             0.0000000001
           -0.0248028451             4.4165004785             0.1245035791             0.1016497220             0.0000000001
           -0.0236628451             4.8403841529             0.1315420306             0.1024940651             0.0000000001
           -0.0225228451             5.2874768278             0.1393471368             0.1033448198             0.0000000001
