# Energy loss (eV)	Quasi-elastic (arb. units)	Magnetic excitations (arb. units)	dd excitations(arb. units)
           -0.0378796565             1.0329857600             0.0758776506             0.0000000000
           -0.0367396565             1.1672769973             0.0780447253             0.0000000000
           -0.0355996565             1.3209070856             0.0803925721             0.0000000000
           -0.0344596565             1.4958800813             0.0829378312             0.0000000000
           -0.0333196565             1.6942116659             0.0856947045             0.0000000000
           -0.0321796565             1.9178847789             0.0886903768             0.0000000000
           -0.0310396565             2.1687982643             0.0920046458             0.0000000000
           -0.0298996565             2.4487090920             0.0956363224             0.0000000000
           -0.0287596565             2.7591690565             0.0996210844             0.0000000000
           -0.0276196565             3.1014572065             0.1040185098             0.0000000000
           -0.0264796565             3.4765095874             0.1089300021             0.0000000000
           -0.0253396565             3.8848481776             0.1143523508             0.0000000000
           -0.0241996565             4.3265111268             0.1203428599             0.0000000000
           -0.0230596565             4.8009865455             0.1270237739             0.0000000000
           -0.0219196565             5.3071521266             0.1344784383             0.0000000000
           -0.0207796565             5.8432227825             0.1427218982             0.0000000000
           -0.0196396565             6.4067082569             0.1518302869             0.0000000000
           -0.0184996565             6.9943823294             0.1620233052             0.0000000000
           -0.0173596565             7.6022648132             0.1733082001             0.0000000000
           -0.0162196565             8.2256171234             0.1857348486             0.0000000000
           -0.0150796565             8.8589518734             0.1994063900             0.0000000000
           -0.0139396565             9.4960568834             0.2146368175             0.0000000000
           -0.0127996565            10.1300343383             0.2313116406             0.0000000000
           -0.0116596565            10.7533567629             0.2495240371             0.0000000000
           -0.0105196565            11.3579430826             0.2694682988             0.0000000000
           -0.0093796565            11.9352601921             0.2913509162             0.0000000000
           -0.0082396565            12.4764577270             0.3150667795             0.0000000000
           -0.0070996565            12.9725452255             0.3406981045             0.0000000000
           -0.0059596565            13.4146202684             0.3685452956             0.0000000000
           -0.0048196565            13.7941519774             0.3986085976             0.0000000000
           -0.0036796565            14.1033154308             0.4308139979             0.0000000000
           -0.0025396565            14.3353594942             0.4652127030             0.0000000000
           -0.0013996565            14.4849758054             0.5022026749             0.0000000000
           -0.0002596565            14.5486249001             0.5415040677             0.0000000000
            0.0008803435            14.5247721272             0.5830930357             0.0000000000
            0.0020203435            14.4139946611             0.6270455880             0.0000000000
            0.0031603435            14.2189409151             0.6736052708             0.0000000000
            0.0043003435            13.9441495305             0.7224197252             0.0000000000
            0.0054403435            13.5957586976             0.7734536531             0.0000000000
            0.0065803435            13.1811507833             0.8268315247             0.0000000000
            0.0077203435            12.7085791341             0.8825111387             0.0000000000
            0.0088603435            12.1868153742             0.9402202122             0.0000000000
            0.0100003435            11.6248414569             0.9998820307             0.0000000000
            0.0111403435            11.0315964313             1.0616435582             0.0000000000
            0.0122803435            10.4157769695             1.1252397726             0.0000000000
            0.0134203435             9.7856844543             1.1904911482             0.0000000000
            0.0145603435             9.1491093607             1.2573039955             0.0000000000
            0.0157003435             8.5132443892             1.3257996395             0.0000000000
            0.0168403435             7.8846198666             1.3956132964             0.0000000000
            0.0179803435             7.2690572144             1.4666401018             0.0000000000
            0.0191203435             6.6716381716             1.5388284296             0.0000000000
            0.0202603435             6.0966886903             1.6121224574             0.0000000000
            0.0214003435             5.5477770215             1.6862891070             0.0000000000
            0.0225403435             5.0277256089             1.7612289687             0.0000000000
            0.0236803435             4.5386361787             1.8369042705             0.0000000000
            0.0248203435             4.0819270241             1.9131822117             0.0000000000
            0.0259603435             3.6583810487             1.9899256532             0.0000000000
            0.0271003435             3.2682027540             2.0670482494             0.0000000000
            0.0282403435             2.9110820731             2.1444996487             0.0000000000
            0.0293803435             2.5862627982             2.2221514958             0.0000000000
            0.0305203435             2.2926133238             2.2999222971             0.0000000000
            0.0316603435             2.0286975196             2.3777395532             0.0000000000
            0.0328003435             1.7928437410             2.4555197525             0.0000000000
            0.0339403435             1.5832102506             2.5331940975             0.0000000000
            0.0350803435             1.3978456455             2.6107005569             0.0000000000
            0.0362203435             1.2347432282             2.6879577526             0.0000000000
            0.0373603435             1.0918886038             2.7648893501             0.0000000000
            0.0385003435             0.9673001233             2.8414646538             0.0000000000
            0.0396403435             0.8590620900             2.9176305495             0.0000000000
            0.0407803435             0.7653509097             2.9932715307             0.0000000000
            0.0419203435             0.6844545801             3.0683624265             0.0000000000
            0.0430603435             0.6147860764             3.1428780161             0.0000000000
            0.0442003435             0.5548913086             3.2167700504             0.0000000000
            0.0453403435             0.5034523910             3.2898663753             0.0000000000
            0.0464803435             0.4592869933             3.3622296103             0.0000000000
            0.0476203435             0.4213445337             3.4338142023             0.0000000000
            0.0487603435             0.3886999378             3.5045321129             0.0000000000
            0.0499003435             0.3605456276             3.5742590504             0.0000000000
            0.0510403435             0.3361823345             3.6430556058             0.0000000000
            0.0521803435             0.3150092463             3.7108761098             0.0000000000
            0.0533203435             0.2965139152             3.7775713661             0.0000000000
            0.0544603435             0.2802622706             3.8431056908             0.0000000000
            0.0556003435             0.2658890010             3.9075143281             0.0000000000
            0.0567403435             0.2530884984             3.9707522830             0.0000000000
            0.0578803435             0.2416064956             4.0325906785             0.0000000000
            0.0590203435             0.2312324738             4.0931208122             0.0000000000
            0.0601603435             0.2217928719             4.1523340583             0.0000000000
            0.0613003435             0.2131450974             4.2101583738             0.0000000000
            0.0624403435             0.2051723101             4.2663548318             0.0000000000
            0.0635803435             0.1977789312             4.3210936077             0.0000000000
            0.0647203435             0.1908868199             4.3743335728             0.0000000000
            0.0658603435             0.1844320508             4.4259245794             0.0000000000
            0.0670003435             0.1783622244             4.4757626492             0.0000000000
            0.0681403435             0.1726342421             4.5239732465             0.0000000000
            0.0692803435             0.1672124815             4.5705198725             0.0000000000
            0.0704203435             0.1620673121             4.6151615867             0.0000000000
            0.0715603435             0.1571738964             4.6579648659             0.0000000000
            0.0727003435             0.1525112288             4.6989940404             0.0000000000
            0.0738403435             0.1480613690             4.7382191872             0.0000000000
            0.0749803435             0.1438088352             4.7753002699             0.0000000000
            0.0761203435             0.1397401249             4.8105025875             0.0000000000
            0.0772603435             0.1358433381             4.8438155056             0.0000000000
            0.0784003435             0.1321078828             4.8751361125             0.0000000000
            0.0795403435             0.1285242439             4.9042665509             0.0000000000
            0.0806803435             0.1250838024             4.9314448573             0.0000000000
            0.0818203435             0.1217786938             4.9566568899             0.0000000000
            0.0829603435             0.1186016967             4.9797094112             0.0000000000
            0.0841003435             0.1155461442             5.0006065690             0.0000000000
            0.0852403435             0.1126058541             5.0195078480             0.0000000000
            0.0863803435             0.1097750719             5.0364095760             0.0000000000
            0.0875203435             0.1070484246             5.0510298161             0.0000000000
            0.0886603435             0.1044208828             5.0635826863             0.0000000000
            0.0898003435             0.1018877290             5.0741418379             0.0000000000
            0.0909403435             0.0994445299             5.0826854124             0.0000000000
            0.0920803435             0.0970871142             5.0889376850             0.0000000000
            0.0932203435             0.0948115513             5.0932294629             0.0000000000
            0.0943603435             0.0926141339             5.0955761518             0.0000000000
            0.0955003435             0.0904913622             5.0958738439             0.0000000000
            0.0966403435             0.0884399294             5.0940573446             0.0000000000
            0.0977803435             0.0864567086             5.0903632661             0.0000000000
            0.0989203435             0.0845387410             5.0848169452             0.0000000000
            0.1000603435             0.0826832254             5.0772430934             0.0000000000
            0.1012003435             0.0808875077             5.0677706586             0.0000000000
            0.1023403435             0.0791490721             5.0565442690             0.0000000000
            0.1034803435             0.0774655326             5.0435978605             0.0000000000
            0.1046203435             0.0758346246             5.0287000585             0.0000000000
            0.1057603435             0.0742541982             5.0121454405             0.0000000000
            0.1069003435             0.0727222110             4.9939946941             0.0000000000
            0.1080403435             0.0712367221             4.9742335880             0.0000000000
            0.1091803435             0.0697958855             4.9527582354             0.0000000000
            0.1103203435             0.0683979454             4.9298260149             0.0000000000
            0.1114603435             0.0670412307             4.9054815958             0.0000000000
            0.1126003435             0.0657241500             4.8796578176             0.0000000000
            0.1137403435             0.0644451873             4.8524067516             0.0000000000
            0.1148803435             0.0632028979             4.8238967366             0.0000000000
            0.1160203435             0.0619959042             4.7941756162             0.0000000000
            0.1171603435             0.0608228923             4.7631417131             0.0000000000
            0.1183003435             0.0596826083             4.7309618583             0.0000000000
            0.1194403435             0.0585738551             4.6977311782             0.0000000000
            0.1205803435             0.0574954894             4.6634900398             0.0000000000
            0.1217203435             0.0564464191             4.6281467740             0.0000000000
            0.1228603435             0.0554256002             4.5919138755             0.0000000000
            0.1240003435             0.0544320343             4.5548398600             0.0000000000
            0.1251403435             0.0534647666             4.5169298028             0.0000000000
            0.1262803435             0.0525228835             4.4781976329             0.0000000000
            0.1274203435             0.0516055102             4.4387815272             0.0000000000
            0.1285603435             0.0507118094             4.3987279912             0.0000000000
            0.1297003435             0.0498409787             4.3580244718             0.0000000000
            0.1308403435             0.0489922492             4.3167484648             0.0000000000
            0.1319803435             0.0481648841             4.2749832903             0.0000000000
            0.1331203435             0.0473581766             4.2327721397             0.0000000000
            0.1342603435             0.0465714487             4.1901006853             0.0000000000
            0.1354003435             0.0458040500             4.1470716615             0.0000000000
            0.1365403435             0.0450553562             4.1037323125             0.0000000000
            0.1376803435             0.0443247676             4.0601145285             0.0000000000
            0.1388203435             0.0436117084             4.0162367249             0.0000000000
            0.1399603435             0.0429156255             3.9721728590             0.0000000000
            0.1411003435             0.0422359870             3.9279582027             0.0000000000
            0.1422403435             0.0415722818             3.8836204222             0.0000000000
            0.1433803435             0.0409240183             3.8391982159             0.0000000000
            0.1445203435             0.0402907236             3.7947333267             0.0000000000
            0.1456603435             0.0396719429             3.7502560154             0.0000000000
            0.1468003435             0.0390672380             3.7058012944             0.0000000000
            0.1479403435             0.0384761875             3.6614002312             0.0000000000
            0.1490803435             0.0378983853             3.6170781823             0.0000000000
            0.1502203435             0.0373334402             3.5728608338             0.0000000000
            0.1513603435             0.0367809755             3.5287979005             0.0000000000
            0.1525003435             0.0362406279             3.4848928283             0.0000000000
            0.1536403435             0.0357120472             3.4411670939             0.0000000000
            0.1547803435             0.0351948958             3.3976527325             0.0000000000
            0.1559203435             0.0346888480             3.3543880176             0.0000000000
            0.1570603435             0.0341935895             3.3113658329             0.0000000000
            0.1582003435             0.0337088172             3.2686030971             0.0000000000
            0.1593403435             0.0332342384             3.2261453933             0.0000000000
            0.1604803435             0.0327695703             3.1840026483             0.0000000000
            0.1616203435             0.0323145402             3.1421681908             0.0000000000
            0.1627603435             0.0318688843             3.1006548252             0.0000000000
            0.1639003435             0.0314323481             3.0595264566             0.0000000000
            0.1650403435             0.0310046852             3.0187532960             0.0000000000
            0.1661803435             0.0305856579             2.9783372951             0.0000000000
            0.1673203435             0.0301750359             2.9382971264             0.0000000000
            0.1684603435             0.0297725970             2.8986892956             0.0000000000
            0.1696003435             0.0293781258             2.8594660609             0.0000000000
            0.1707403435             0.0289914143             2.8206341843             0.0000000000
            0.1718803435             0.0286122609             2.7822297730             0.0000000001
            0.1730203435             0.0282404707             2.7442698501             0.0000000001
            0.1741603435             0.0278758549             2.7067189771             0.0000000002
            0.1753003435             0.0275182308             2.6695812216             0.0000000003
            0.1764403435             0.0271674213             2.6329119623             0.0000000005
            0.1775803435             0.0268232551             2.5966845206             0.0000000009
            0.1787203435             0.0264855659             2.5608797995             0.0000000014
            0.1798603435             0.0261541928             2.5254996557             0.0000000022
            0.1810003435             0.0258289798             2.4906192427             0.0000000035
            0.1821403435             0.0255097756             2.4561669222             0.0000000055
            0.1832803435             0.0251964336             2.4221422229             0.0000000087
            0.1844203435             0.0248888115             2.3885653123             0.0000000135
            0.1855603435             0.0245867715             2.3554703788             0.0000000209
            0.1867003435             0.0242901797             2.3228020187             0.0000000323
            0.1878403435             0.0239989062             2.2905592158             0.0000000495
            0.1889803435             0.0237128250             2.2587812982             0.0000000755
            0.1901203435             0.0234318139             2.2274589086             0.0000001146
            0.1912603435             0.0231557540             2.1965567640             0.0000001729
            0.1924003435             0.0228845301             2.1660727244             0.0000002596
            0.1935403435             0.0226180301             2.1360644652             0.0000003875
            0.1946803435             0.0223561454             2.1064808683             0.0000005754
            0.1958203435             0.0220987703             2.0773068520             0.0000008498
            0.1969603435             0.0218458020             2.0485473436             0.0000012483
            0.1981003435             0.0215971409             2.0202533529             0.0000018239
            0.1992403435             0.0213526900             1.9923585614             0.0000026504
            0.2003803435             0.0211123550             1.9648595219             0.0000038309
            0.2015203435             0.0208760443             1.9377793618             0.0000055075
            0.2026603435             0.0206436688             1.9111281283             0.0000078754
            0.2038003435             0.0204151417             1.8848605013             0.0000112011
            0.2049403435             0.0201903789             1.8589725986             0.0000158460
            0.2060803435             0.0199692982             1.8335042740             0.0000222972
            0.2072203435             0.0197518200             1.8084278347             0.0000312076
            0.2083603435             0.0195378665             1.7837178241             0.0000434459
            0.2095003435             0.0193273622             1.7593700909             0.0000601617
            0.2106403435             0.0191202335             1.7354395558             0.0000828660
            0.2117803435             0.0189164087             1.7118643934             0.0001135329
            0.2129203435             0.0187158183             1.6886375513             0.0001547243
            0.2140603435             0.0185183942             1.6657687728             0.0002097445
            0.2152003435             0.0183240703             1.6432842101             0.0002828273
            0.2163403435             0.0181327822             1.6211337671             0.0003793625
            0.2174803435             0.0179444672             1.5993131182             0.0005061668
            0.2186203435             0.0177590640             1.5778469797             0.0006718049
            0.2197603435             0.0175765131             1.5567280681             0.0008869661
            0.2209003435             0.0173967564             1.5359247020             0.0011649025
            0.2220403435             0.0172197373             1.5154325798             0.0015219324
            0.2231803435             0.0170454006             1.4952896761             0.0019780127
            0.2243203435             0.0168736925             1.4754589668             0.0025573824
            0.2254603435             0.0167045605             1.4559254398             0.0032892759
            0.2266003435             0.0165379534             1.4366889068             0.0042087038
            0.2277403435             0.0163738215             1.4177868476             0.0053572943
            0.2288803435             0.0162121158             1.3991681720             0.0067841838
            0.2300203435             0.0160527891             1.3808287601             0.0085469439
            0.2311603435             0.0158957949             1.3627816173             0.0107125214
            0.2323003435             0.0157410880             1.3450350332             0.0133581687
            0.2334403435             0.0155886243             1.3275543711             0.0165723311
            0.2345803435             0.0154383607             1.3103356652             0.0204554562
            0.2357203435             0.0152902551             1.2934035022             0.0251206814
            0.2368603435             0.0151442666             1.2767404286             0.0306943550
            0.2380003435             0.0150003550             1.2603265178             0.0373163391
            0.2391403435             0.0148584812             1.2441579797             0.0451400430
            0.2402803435             0.0147186070             1.2282694713             0.0543321350
            0.2414203435             0.0145806950             1.2126210260             0.0650718806
            0.2425603435             0.0144447088             1.1972057663             0.0775500623
            0.2437003435             0.0143106128             1.1820281560             0.0919674408
            0.2448403435             0.0141783721             1.1671073319             0.1085327281
            0.2459803435             0.0140479527             1.1524079942             0.1274600568
            0.2471203435             0.0139193215             1.1379266936             0.1489659437
            0.2482603435             0.0137924459             1.1236779413             0.1732657643
            0.2494003435             0.0136672941             1.1096587135             0.2005697758
            0.2505403435             0.0135438352             1.0958464741             0.2310787446
            0.2516803435             0.0134220388             1.0822379718             0.2649792585
            0.2528203435             0.0133018752             1.0688564439             0.3024388220
            0.2539603435             0.0131833154             1.0556795145             0.3436008556
            0.2551003435             0.0130663311             1.0426959259             0.3885797334
            0.2562403435             0.0129508945             1.0299041839             0.4374560070
            0.2573803435             0.0128369785             1.0173303665             0.4902719745
            0.2585203435             0.0127245565             1.0049399874             0.5470277513
            0.2596603435             0.0126136025             0.9927301403             0.6076779999
            0.2608003435             0.0125040912             0.9807080021             0.6721294627
            0.2619403435             0.0123959977             0.9688806499             0.7402394270
            0.2630803435             0.0122892976             0.9572245568             0.8118152264
            0.2642203435             0.0121839671             0.9457370041             0.8866148552
            0.2653603435             0.0120799830             0.9344327094             0.9643487374
            0.2665003435             0.0119773225             0.9233021411             1.0446826564
            0.2676403435             0.0118759631             0.9123314471             1.1272418099
            0.2687803435             0.0117758830             0.9015180885             1.2116159167
            0.2699203435             0.0116770608             0.8908833039             1.2973652648
            0.2710603435             0.0115794756             0.8804031143             1.3840275518
            0.2722003435             0.0114831069             0.8700721743             1.4711253438
            0.2733403435             0.0113879344             0.8598924619             1.5581739508
            0.2744803435             0.0112939386             0.8498777833             1.6446895034
            0.2756203435             0.0112011001             0.8400046936             1.7301970072
            0.2767603435             0.0111094000             0.8302709512             1.8142381502
            0.2779003435             0.0110188199             0.8206850372             1.8963786523
            0.2790403435             0.0109293416             0.8112465183             1.9762149588
            0.2801803435             0.0108409473             0.8019402138             2.0533801081
            0.2813203435             0.0107536196             0.7927640370             2.1275486337
            0.2824603435             0.0106673415             0.7837321153             2.1984403958
            0.2836003435             0.0105820961             0.7748315861             2.2658232771
            0.2847403435             0.0104978672             0.7660545482             2.3295147164
            0.2858803435             0.0104146386             0.7573993869             2.3893820934
            0.2870203435             0.0103323946             0.7488841297             2.4453420125
            0.2881603435             0.0102511197             0.7404860870             2.4973585699
            0.2893003435             0.0101707988             0.7322034241             2.5454407127
            0.2904403435             0.0100914170             0.7240401280             2.5896388231
            0.2915803435             0.0100129598             0.7160020220             2.6300406748
            0.2927203435             0.0099354129             0.7080734613             2.6667669192
            0.2938603435             0.0098587623             0.7002527408             2.6999662592
            0.2950003435             0.0097829941             0.6925487335             2.7298104672
            0.2961403435             0.0097080951             0.6849565665             2.7564893934
            0.2972803435             0.0096340518             0.6774668182             2.7802060965
            0.2984203435             0.0095608514             0.6700779038             2.8011722116
            0.2995603435             0.0094884811             0.6628029413             2.8196036527
            0.3007003435             0.0094169285             0.6556277145             2.8357167231
            0.3018403435             0.0093461812             0.6485482847             2.8497246862
            0.3029803435             0.0092762273             0.6415654503             2.8618348316
            0.3041203435             0.0092070550             0.6346891886             2.8722460464
            0.3052603435             0.0091386526             0.6279039630             2.8811468892
            0.3064003435             0.0090710088             0.6212083826             2.8887141471
            0.3075403435             0.0090041124             0.6146074735             2.8951118434
